ID,Species,WetMass,SL,Time to 1st ASR,Mins.ASR,DO.ASR,DO.ASRmgL,Times to 50% ASR,Mins.50.ASR,DO.50.ASR,DO.50.ASRmgL,Time LOE,Mins.LOE,DO.LOE,DO.LOEmgL,
Stoneroller3,CAMANO,1.98,51,41:51:00,0:42,4.57,0.431865,43:03:00,0:43,3.05,0.288279773,45:09:00,0:45,2.56,0.241509434,1
Stoneroller4,CAMANO,1.99,53,35:34:00,0:36,17.03,1.609335,44:53:00,0:45,2.96,0.279773157,45:26:00,0:45,1.7,0.160377358,2
Stoneroller6,CAMANO,3.65,71,31:46:00,0:32,18.74,1.77093,45:24:00,0:45,9.68,0.914933837,48:22:00,0:48,3.41,0.321698113,6
Stoneroller9,CAMANO,1.25,55,31:14:00,0:31,23.27,2.199015,46:21:00,0:46,3.23,0.305293006,47:55:00,0:48,1.7,0.160377358,7
Stoneroller7,CAMANO,2.47,74,13:29,0:13,34.02,3.21489,49:46:00,0:50,1.48,0.139886578,49:46:00,0:50,1.48,0.139622642,9
Stoneroller8,CAMANO,1.68,58,40:58:00,0:41,13.18,1.24551,50:53:00,0:51,1.12,0.105860113,50:53:00,0:51,1.12,0.105660377,12
Stoneroller2,CAMANO,2.54,54,29:27:00,0:29,18.38,1.73691,52:46:00,0:53,3.32,0.313799622,51:57:00,0:52,3.32,0.313207547,14
Stoneroller1,CAMANO,2,48,39:32:00,0:40,13.85,1.308825,50:21:00,0:50,4.84,0.457466919,53:29:00,0:53,2.6,0.245283019,16
Stoneroller5,CAMANO,1.69,55,34:17:00,0:34,17.75,1.677375,50:06:00,0:50,2.47,0.233459357,54:18:00,0:54,1.52,0.143396226,18
Stoneroller10,CAMANO,1.63,59,19:50,0:20,23.85,2.253825,45:47:00,0:46,6.99,0.660680529,65:05:00,1:05,0.81,0.076415094,29
Dace4,CHRERY,1.36,48,12:43,0:13,30.26,2.85957,43:36:00,0:44,3.23,0.305293006,1/1/1900 22:06,0:46,0.99,0.093396226,3
Dace9,CHRERY,0.72,46,30:12:00,0:30,24.52,2.31714,45:45:00,0:46,3.23,0.305293006,45:45:00,0:46,3.23,0.304716981,4
Dace2,CHRERY,0.8,40,22:31,0:23,24.21,2.287845,51:32:00,0:52,1.7,0.160680529,51:32:00,0:52,1.7,0.160377358,13
Dace1,CHRERY,0.71,40,31:39:00,0:32,18.87,1.783215,50:53:00,0:51,4.84,0.457466919,56:12:00,0:56,0.54,0.050943396,21
Dace6,CHRERY,0.85,48,34:54:00,0:35,18.74,1.77093,51:06:00,0:51,2.06,0.194706994,56:12:00,0:56,0.81,0.076415094,22
Dace3,CHRERY,0.68,34,42:02:00,0:42,4.53,0.428085,45:36:00,0:46,3.18,0.300567108,58:36:00,0:59,1.3,0.122641509,24
Dace5,CHRERY,1.04,50,38:23:00,0:38,16.18,1.52901,49:58:00,0:50,5.07,0.479206049,59:07:00,0:59,1.52,0.143396226,25
Dace7,CHRERY,0.73,45,47:11:00,0:47,3.5,0.33075,51:15:00,0:51,2.6,0.245746692,61:05:00,1:01,1.88,0.177358491,27
Gambusia10,GAMAFF,0.55,31,5:43,0:06,36.4,3.4398,17:21,0:17,30.17,2.851606805,64:27:00,1:04,0.94,0.088679245,28
Gambusia4,GAMAFF,0.27,30,8:26,0:08,31.92,3.01644,12:00,0:12,29.68,2.805293006,66:09:00,1:06,0.67,0.063207547,30
Gambusia1,GAMAFF,0.37,30,31:22:00,0:31,21.25,2.008125,41:12:00,0:41,12.64,1.194706994,70:00:00,1:10,0.94,0.088679245,31
Gambusia2,GAMAFF,0.33,25,12:48,0:13,32.27,3.049515,21:12,0:21,24.65,2.329867675,70:00:00,1:10,0.54,0.050943396,32
Gambusia3,GAMAFF,0.33,34,8:57,0:09,33.49,3.164805,13:29,0:13,31.83,3.008506616,70:00:00,1:10,0.9,0.08490566,33
Gambusia5,GAMAFF,0.39,31,9:03,0:09,39.72,3.75354,34:36:00,0:35,14.57,1.377126654,70:00:00,1:10,0.76,0.071698113,34
Gambusia6,GAMAFF,0.59,34,16:41,0:17,29.23,2.762235,47:55:00,0:48,4.03,0.380907372,70:00:00,1:10,0.76,0.071698113,35
Gambusia7,GAMAFF,0.27,31,4:21,0:04,36.76,3.47382,14:30,0:15,32.01,3.025519849,70:00:00,1:10,0.9,0.08490566,36
Gambusia8,GAMAFF,0.51,31,7:32,0:08,33.22,3.13929,47:10:00,0:47,3.63,0.343100189,70:00:00,1:10,0.94,0.088679245,37
Gambusia9,GAMAFF,0.28,26,5:38,0:06,39.36,3.71952,10:01,0:10,31.69,2.995274102,70:00:00,1:10,1.88,0.177358491,38
CreekChub4,SEMATR,2.66,66,18:00,0:18,28.51,2.694195,44:23:00,0:44,4.57,0.43194707,47:04:00,0:47,0.94,0.088679245,5
CreekChub9,SEMATR,1.9,60,22:43,0:23,30.89,2.919105,46:21:00,0:46,3.63,0.343100189,49:07:00,0:49,0.54,0.050943396,8
CreekChub1,SEMATR,1.32,44,31:03:00,0:31,22.41,2.117745,44:56:00,0:45,10.4,0.982986767,51:19:00,0:51,1.75,0.16509434,10
CreekChub10,SEMATR,1.45,54,19:47,0:20,26.54,2.50803,45:22:00,0:45,4.57,0.43194707,51:06:00,0:51,0.52,0.049056604,11
CreekChub7,SEMATR,4.32,67,35:54:00,0:36,18.51,1.749195,51:29:00,0:51,1.57,0.148393195,53:16:00,0:53,1.35,0.127358491,15
CreekChub5,SEMATR,2.82,64,16:05,0:16,33.31,3.147795,48:50:00,0:49,3.86,0.364839319,54:05:00,0:54,1.39,0.131132075,17
CreekChub3,SEMATR,3.76,67,18:18,0:18,30.48,2.88036,44:05:00,0:44,4.48,0.423440454,56:06:00,0:56,0.52,0.049056604,19
CreekChub8,SEMATR,3.76,70,47:10:00,0:47,6.14,0.58023,51:37:00,0:52,1.12,0.105860113,55:36:00,0:56,0.76,0.071698113,20
CreekChub2,SEMATR,5.65,70,16:15,0:16,25.1,2.37195,50:00:00,0:50,5.47,0.517013233,57:53:00,0:58,2.24,0.211320755,23
CreekChub6,SEMATR,2.68,57,26:43:00,0:27,23.04,2.17728,50:18:00,0:50,3,0.283553875,59:34:00,1:00,0.94,0.088679245,26
