Row Labels,Month,C.anomalum,C.commersoni,C.erythrogaster,E.spectabile,G.affinis,L.cornutus,S.atromaculatus
11,June,24,1,13,60,183,0,21
3,June,200,11,13230,84,11,0,105
12,June,15,0,114,18,58,0,23
5,June,61,0,552,11,0,0,37
4,June,14,2,861,89,0,1,26
10,June,7,0,125,0,0,18,11
8,June,212,4,616,20,24,20,64
9,June,7,5,3,5,33,1,0
6,June,70,4,135,34,0,0,57
2,June,0,0,27,0,12,0,0
1,June,0,6,6,6,6,0,6
7,June,202,0,4511,7,7,7,7
11,July,3,0,3,32,445,0,18
3,July,6,8,1280,368,48,0,2
12,July,89,0,140,0,91,0,15
4,July,16,0,207,4,0,0,6
8,July,62,0,0,85,137,5,0
9,July,26,0,4,58,508,0,0
2,July,0,0,4,0,8,0,0
1,July,0,38,979,115,117,0,31
7,July,58,0,502,68,470,14,12
11,August,3,0,2,57,261,0,8
3,August,0,6,813,85,76,0,1
12,August,8,0,89,0,402,0,0
4,August,26,0,153,14,0,0,5
8,August,26,0,0,18,216,0,0
9,August,19,0,0,95,313,0,0
2,August,0,0,2,0,158,0,0
1,August,0,29,154,154,21,0,29
7,August,4,0,74,15,1304,4,0
